season,team_name_raw,canonical_team_name,seed,region,offensive_efficiency,defensive_efficiency,efficiency_margin,kenpom_rank,bart_torvik_rank,ap_top12_flag,public_pick_pct,conference,recent_form,strength_of_schedule,bracket_half
2026,Duke,Duke,1,East,127.956,89.0562,38.8998,1,1,1,0.2,ACC,W8,84.2,1
2026,Connecticut,Connecticut,2,East,121.986,94.1163,27.8693,11,9,1,0.06,Big East,W7,82.8,1
2026,Michigan State,Michigan State,3,East,123.049,94.7386,28.31,9,12,0,0.02,Big Ten,W6,81.4,1
2026,Kansas,Kansas,4,East,118.33,93.8906,24.4398,21,23,0,0.012,Big 12,W5,78.9,1
2026,St. John's,St. John's,5,East,120.068,94.1597,25.9079,17,19,0,0.008,Big East,W6,79.5,1
2026,Louisville,Louisville,6,East,124.053,98.629,25.4241,19,18,0,0.004,ACC,W5,77.3,1
2026,UCLA,UCLA,7,East,123.728,102.061,21.6671,27,24,0,0.003,Big Ten,W4,76.8,1
2026,Ohio State,Ohio State,8,East,124.305,102.066,22.2396,26,22,0,0.002,Big Ten,W4,75.6,1
2026,TCU,TCU,9,East,115.379,97.7924,17.5867,43,51,0,0.001,Big 12,W3,73.2,1
2026,UCF,UCF,10,East,120.452,105.413,15.0386,54,55,0,0.001,Big 12,W3,70.8,1
2026,South Florida,South Florida,11,East,117.305,100.918,16.3874,47,50,0,0.0007,American Athletic,W4,68.4,1
2026,Northern Iowa,Northern Iowa,12,East,110.001,98.1918,11.8089,72,75,0,0.0004,Missouri Valley,W5,65.2,1
2026,California Baptist,California Baptist,13,East,107.926,101.933,5.9931,106,98,0,0.0002,WAC,W4,62.8,1
2026,North Dakota State,North Dakota State,14,East,111.74,106.606,5.134,113,115,0,0.0001,Summit League,W5,59.4,1
2026,Furman,Furman,15,East,107.451,109.43,-1.9789,191,194,0,5e-05,Southern,W4,56.1,1
2026,Siena,Siena,16,East,107.134,109.231,-2.0972,192,186,0,2e-05,MAAC,W3,52.8,1
2026,Arizona,Arizona,1,West,127.676,90.0201,37.6556,2,3,1,0.15,Big 12,W9,83.6,0
2026,Purdue,Purdue,2,West,131.635,100.436,31.1992,8,6,1,0.08,Big Ten,W7,82.1,0
2026,Gonzaga,Gonzaga,3,West,121.99,93.8894,28.1006,10,16,0,0.04,WCC,W9,78.4,0
2026,Arkansas,Arkansas,4,West,127.658,101.605,26.0527,15,15,0,0.012,SEC,W5,79.8,0
