year,round,round_name,winning_seed,losing_seed,matchup,upset,winning_team,losing_team
1985,1,Round of 64,9,8,8_vs_9,0,1116,1234
1985,1,Round of 64,11,6,6_vs_11,1,1120,1345
1985,1,Round of 64,1,16,1_vs_16,0,1207,1250
1985,1,Round of 64,9,8,8_vs_9,0,1229,1425
1985,1,Round of 64,3,14,3_vs_14,0,1242,1325
1985,1,Round of 64,12,5,5_vs_12,1,1246,1449
1985,1,Round of 64,5,12,5_vs_12,0,1256,1338
1985,1,Round of 64,4,13,4_vs_13,0,1260,1233
1985,1,Round of 64,2,15,2_vs_15,0,1314,1292
1985,1,Round of 64,7,10,7_vs_10,0,1323,1333
1985,1,Round of 64,4,13,4_vs_13,0,1326,1235
1985,1,Round of 64,1,16,1_vs_16,0,1328,1299
1985,1,Round of 64,5,12,5_vs_12,0,1374,1330
1985,1,Round of 64,1,16,1_vs_16,0,1385,1380
1985,1,Round of 64,8,9,8_vs_9,0,1396,1439
1985,1,Round of 64,4,13,4_vs_13,0,1424,1361
1985,1,Round of 64,7,10,7_vs_10,0,1104,1112
1985,1,Round of 64,11,6,6_vs_11,1,1130,1403
1985,1,Round of 64,3,14,3_vs_14,0,1181,1337
1985,1,Round of 64,6,11,6_vs_11,0,1208,1455
1985,1,Round of 64,2,15,2_vs_15,0,1210,1273
1985,1,Round of 64,3,14,3_vs_14,0,1228,1318
1985,1,Round of 64,5,12,5_vs_12,0,1268,1275
1985,1,Round of 64,2,15,2_vs_15,0,1272,1335
1985,1,Round of 64,1,16,1_vs_16,0,1276,1192
1985,1,Round of 64,13,4,4_vs_13,1,1298,1261
1985,1,Round of 64,3,14,3_vs_14,0,1301,1305
1985,1,Round of 64,7,10,7_vs_10,0,1393,1177
1985,1,Round of 64,7,10,7_vs_10,0,1412,1277
1985,1,Round of 64,11,6,6_vs_11,1,1431,1409
1985,1,Round of 64,2,15,2_vs_15,0,1433,1267
1985,1,Round of 64,8,9,8_vs_9,0,1437,1173
1985,2,Round of 32,11,3,3_vs_11,1,1120,1242
1985,2,Round of 32,1,8,1_vs_8,0,1207,1396
1985,2,Round of 32,12,4,4_vs_12,1,1246,1424
1985,2,Round of 32,5,4,4_vs_5,1,1256,1326
1985,2,Round of 32,4,5,4_vs_5,0,1260,1374
1985,2,Round of 32,2,7,2_vs_7,0,1314,1323
1985,2,Round of 32,1,9,1_vs_9,0,1328,1229
1985,2,Round of 32,1,9,1_vs_9,0,1385,1116
1985,2,Round of 32,7,2,2_vs_7,1,1104,1433
1985,2,Round of 32,11,3,3_vs_11,1,1130,1181
1985,2,Round of 32,2,7,2_vs_7,0,1210,1393
